Date,Open,High,Low,Close,Adj Close,Volume,,
11/25/19,1536.58,1550.11,1536.44,1546.89,1531.55,6989948,,
11/26/19,1553.38,1561.55,1541.39,1545.60,1530.27,16305243,,
11/27/19,1545.30,1560.71,1541.49,1555.11,1539.69,4450122,,
11/28/19,1557.88,1569.27,1549.26,1565.46,1549.94,6344459,,
11/29/19,1567.10,1567.10,1533.32,1536.58,1521.35,8565249,,
12/2/19,1584.98,1599.29,1562.19,1571.60,1556.02,14410500,,
12/3/19,1577.79,1579.03,1557.83,1564.07,1548.56,5995079,,
12/4/19,1558.23,1562.69,1519.35,1538.12,1522.87,9685777,,
12/5/19,1559.22,1564.92,1529.50,1536.29,1521.05,9203442,,
12/6/19,1538.42,1553.28,1526.63,1540.30,1525.03,6038833,,
12/9/19,1541.54,1562.59,1531.98,1557.83,1542.39,5834593,,
12/10/19,1557.29,1558.82,1539.56,1547.28,1531.94,4694991,,
12/11/19,1540.99,1559.72,1536.04,1547.73,1532.38,5706279,,
12/12/19,1555.51,1559.07,1542.03,1553.47,1538.07,4765727,,
12/13/19,1565.16,1575.07,1557.64,1568.04,1552.49,5846419,,
12/16/19,1577.05,1578.93,1549.66,1551.89,1536.50,5488487,,
12/17/19,1552.04,1564.17,1540.94,1548.03,1532.68,9379800,,
12/18/19,1548.32,1565.16,1547.33,1561.05,1545.57,6803466,,
12/19/19,1558.92,1599.74,1557.04,1594.83,1579.02,9464354,,
12/20/19,1599.84,1602.36,1581.11,1584.08,1568.38,9816798,,
12/23/19,1545.45,1562.74,1543.17,1556.64,1541.21,11587233,,
12/24/19,1554.17,1557.29,1528.02,1531.93,1516.74,8329356,,
12/26/19,1527.17,1538.37,1495.97,1501.17,1486.28,13734705,,
12/27/19,1512.66,1531.68,1507.02,1527.87,1512.72,8158196,,
12/30/19,1531.43,1533.12,1513.70,1529.70,1514.53,7902607,,
12/31/19,1527.52,1529.20,1493.89,1499.83,1484.96,10246683,,
1/1/20,1503.75,1512.76,1491.36,1495.42,1480.60,6463060,,
1/2/20,1497.80,1526.48,1497.80,1520.88,1505.80,8173308,,
1/3/20,1518.61,1527.17,1508.70,1522.72,1507.62,9684434,,
1/6/20,1505.73,1513.55,1483.93,1487.40,1472.65,11315596,,
1/7/20,1504.74,1520.09,1499.29,1510.28,1495.31,7699489,,
1/8/20,1500.77,1520.04,1495.82,1498.94,1484.08,7406104,,
1/9/20,1524.15,1535.45,1516.87,1533.46,1518.26,6914533,,
1/10/20,1537.33,1543.32,1525.19,1533.12,1517.91,5758760,,
1/13/20,1530.54,1544.06,1523.95,1529.20,1514.04,8437316,,
1/14/20,1525.54,1535.45,1507.56,1515.04,1500.02,7299328,,
1/15/20,1521.43,1525.44,1503.99,1509.54,1494.57,7299939,,
1/16/20,1514.64,1528.86,1513.65,1523.46,1508.35,5929338,,
1/17/20,1538.91,1570.07,1538.62,1566.15,1550.62,13597387,,
1/20/20,1593.89,1593.89,1512.07,1517.96,1502.91,15019904,,
1/21/20,1514.25,1531.33,1507.71,1519.50,1504.43,8732832,,
1/22/20,1529.50,1532.23,1516.72,1518.95,1503.89,4763978,,
1/23/20,1522.07,1527.47,1506.42,1512.51,1497.51,5190829,,
1/24/20,1512.66,1521.92,1504.29,1507.26,1492.32,6751025,,
1/27/20,1500.68,1510.14,1490.87,1492.40,1477.60,6178444,,
1/28/20,1494.43,1495.82,1449.86,1457.93,1443.47,11321622,,
1/29/20,1460.21,1480.37,1450.30,1465.95,1451.42,11420535,,
1/30/20,1465.11,1465.81,1426.48,1430.19,1416.01,10338837,,
1/31/20,1439.36,1439.60,1393.99,1398.39,1384.53,16037262,,
2/3/20,1357.04,1386.80,1350.25,1372.49,1358.88,14173717,,
2/4/20,1386.85,1419.05,1384.67,1413.01,1398.99,11714666,,
2/5/20,1421.43,1439.16,1416.87,1434.90,1420.67,8524871,,
2/6/20,1440.45,1453.22,1426.58,1444.11,1429.79,7171051,,
2/7/20,1437.38,1438.71,1414.89,1420.19,1406.11,5634549,,
2/10/20,1414.59,1431.93,1397.21,1422.12,1408.02,6988250,,
2/11/20,1433.81,1452.43,1431.48,1439.11,1424.84,6460912,,
2/12/20,1442.48,1461.00,1441.34,1456.49,1442.05,6245738,,
2/13/20,1463.87,1463.87,1448.87,1460.31,1445.83,6260549,,
2/14/20,1463.38,1487.35,1439.46,1473.63,1459.02,9796645,,
2/17/20,1475.02,1492.01,1460.46,1464.37,1449.85,6068321,,
2/18/20,1462.04,1462.04,1443.71,1453.62,1439.21,5135183,,
2/19/20,1465.46,1492.30,1461.25,1489.68,1474.91,6499952,,
2/20/20,1482.94,1493.84,1469.87,1472.00,1457.40,7795779,,
2/24/20,1455.95,1463.13,1426.03,1431.38,1417.19,9862350,,
2/25/20,1437.77,1437.77,1396.76,1403.10,1389.19,12804341,,
2/26/20,1396.76,1399.09,1374.32,1378.93,1365.26,13550903,,
2/27/20,1374.97,1380.71,1356.15,1373.23,1359.62,11562875,,
2/28/20,1342.18,1344.26,1312.56,1316.17,1303.12,18144221,,
3/2/20,1342.38,1356.15,1288.88,1303.79,1290.86,13614473,,
3/3/20,1317.21,1341.19,1309.59,1330.24,1317.05,12644541,,
3/4/20,1339.30,1341.09,1295.62,1327.12,1313.96,10201574,,
3/5/20,1339.50,1345.20,1293.74,1298.84,1285.96,14080540,,
3/6/20,1258.07,1276.05,1229.45,1259.07,1246.58,15568253,,
3/9/20,1228.41,1229.35,1084.72,1103.69,1092.74,40698294,,
3/11/20,1097.60,1167.38,1097.60,1142.72,1131.39,27495503,,
3/12/20,1074.81,1090.66,1038.85,1053.02,1042.58,25830369,,
3/13/20,988.63,1129.30,933.55,1094.92,1084.06,33826739,,
3/16/20,1050.59,1069.56,995.56,1006.16,996.19,17759556,,
3/17/20,1037.42,1050.05,993.78,998.53,988.63,20973312,,
3/18/20,1015.67,1026.17,951.98,959.41,949.89,20643079,,
3/19/20,911.46,957.92,883.82,909.08,900.07,28337941,,
3/20/20,930.68,1025.18,921.27,1008.39,998.39,29240849,,
3/23/20,907.60,941.08,867.43,875.75,867.06,18769636,,
3/24/20,921.27,960.89,887.39,934.54,925.27,21106643,,
3/25/20,954.75,1140.74,954.21,1072.09,1061.46,33749620,,
3/26/20,1085.51,1106.41,1032.56,1056.19,1045.71,21111073,,
3/27/20,1084.72,1096.90,1036.38,1055.59,1045.13,19225132,,
3/30/20,1030.83,1064.71,1010.42,1020.77,1010.65,13951078,,
3/31/20,1063.87,1119.19,1038.16,1103.29,1092.35,20441125,,
4/1/20,1111.71,1114.04,1035.39,1070.30,1059.69,19197220,,
4/3/20,1123.80,1123.80,1046.38,1067.33,1056.75,19091236,,
4/7/20,1091.75,1202.60,1089.67,1194.77,1182.93,25093419,,
4/8/20,1168.92,1217.46,1149.11,1180.96,1169.24,23019764,,
4/9/20,1202.60,1221.22,1181.80,1208.49,1196.51,15244658,,
4/13/20,1192.64,1203.59,1168.92,1177.98,1166.30,10925447,,
4/15/20,1185.81,1224.39,1132.27,1139.05,1127.76,16301024,,
4/16/20,1139.05,1176.30,1134.25,1157.08,1145.61,17285802,,
4/17/20,1204.58,1218.45,1181.45,1212.51,1200.48,15353792,,
4/20/20,1214.49,1245.20,1190.71,1232.12,1219.90,16628269,,
4/21/20,1198.64,1240.24,1153.07,1225.73,1213.58,28322996,,
4/22/20,1307.61,1371.90,1287.79,1350.80,1337.40,65848350,,
4/23/20,1354.51,1372.84,1340.59,1358.03,1344.56,30211857,,
4/24/20,1337.47,1480.91,1334.55,1403.69,1389.77,62296159,,
4/27/20,1420.53,1461.15,1409.64,1416.32,1402.28,26989849,,
4/28/20,1436.38,1441.78,1379.08,1414.74,1400.71,36206232,,
4/29/20,1431.33,1440.00,1406.67,1413.55,1399.53,17303785,,
4/30/20,1440.30,1480.91,1424.55,1452.23,1437.83,32926121,,
5/4/20,1426.48,1451.24,1404.14,1421.72,1407.63,24670336,,
5/5/20,1440.05,1465.11,1433.61,1446.93,1432.59,20723079,,
5/6/20,1450.25,1471.01,1431.93,1447.03,1432.68,18685710,,
5/7/20,1441.34,1499.44,1431.43,1492.80,1478.00,23087436,,
5/8/20,1530.49,1565.06,1522.67,1547.13,1531.79,38887255,,
5/11/20,1565.16,1599.84,1557.54,1561.99,1546.50,30959745,,
5/12/20,1550.11,1553.62,1451.24,1465.36,1450.83,46465281,,
5/13/20,1527.00,1527.00,1454.00,1496.45,1481.61,30657492,,
5/14/20,1469.00,1496.70,1430.05,1435.95,1421.71,22736607,,
5/15/20,1444.00,1466.70,1415.10,1459.40,1444.93,28683258,,
5/18/20,1470.00,1482.00,1428.00,1440.75,1426.46,28980385,,
5/19/20,1457.00,1461.70,1403.25,1408.90,1394.93,19528760,,
5/20/20,1410.00,1446.85,1393.00,1433.70,1419.48,25530626,,
5/21/20,1435.00,1461.45,1425.00,1441.25,1426.96,18076017,,
5/22/20,1451.80,1458.00,1426.50,1431.55,1417.35,17458065,,
5/26/20,1448.15,1449.70,1416.30,1424.05,1409.93,15329472,,
5/27/20,1431.00,1454.00,1412.00,1445.55,1431.22,16460756,,
5/28/20,1455.00,1479.75,1449.00,1472.25,1457.65,18518271,,
5/29/20,1468.00,1472.00,1452.65,1464.40,1449.88,18470390,,
6/1/20,1480.00,1538.35,1475.95,1520.35,1505.27,18434012,,
6/2/20,1526.00,1540.00,1520.80,1535.70,1520.47,10224049,,
6/3/20,1545.00,1560.00,1533.35,1541.65,1526.36,11713461,,
6/4/20,1544.00,1589.50,1541.00,1579.80,1564.13,15784379,,
6/5/20,1595.00,1618.00,1573.70,1581.70,1566.02,15264885,,
6/8/20,1618.40,1618.40,1565.00,1569.50,1553.94,14497996,,
6/9/20,1560.30,1583.00,1533.00,1537.15,1521.91,11933076,,
6/10/20,1543.10,1579.55,1540.05,1572.15,1556.56,10214213,,
6/11/20,1566.00,1567.95,1531.00,1537.70,1522.45,9408046,,
6/12/20,1500.00,1593.00,1497.00,1588.80,1573.05,17790311,,
6/15/20,1565.00,1626.95,1561.10,1614.55,1598.54,24509058,,
6/16/20,1643.00,1648.55,1585.30,1617.70,1601.66,23622794,,
6/17/20,1608.25,1635.45,1602.10,1615.35,1599.33,19282411,,
6/18/20,1607.00,1665.00,1605.60,1655.90,1639.48,18677617,,
6/19/20,1670.00,1788.80,1662.00,1759.40,1741.95,48828609,,
6/22/20,1773.40,1804.20,1735.00,1746.15,1728.83,27781693,,
6/23/20,1750.00,1763.75,1716.10,1720.90,1703.84,17519493,,
6/24/20,1735.90,1772.70,1711.70,1727.85,1710.72,23807033,,
6/25/20,1727.00,1749.00,1713.05,1717.90,1700.86,18312025,,
6/26/20,1728.80,1752.00,1717.00,1741.65,1724.38,14270458,,
6/29/20,1728.05,1739.75,1715.55,1723.15,1706.06,11824524,,
6/30/20,1737.00,1741.00,1695.55,1704.10,1687.20,13972563,,
7/1/20,1720.00,1749.00,1708.05,1737.60,1720.37,13136179,,
7/2/20,1743.00,1767.60,1735.05,1760.35,1749.44,13286365,,
7/3/20,1779.80,1793.00,1768.00,1787.90,1776.82,13583909,,
7/6/20,1805.00,1858.00,1792.10,1851.80,1840.32,21697962,,
7/7/20,1860.00,1864.35,1806.30,1823.45,1812.15,16239990,,
7/8/20,1824.05,1834.95,1790.00,1798.00,1786.85,12093186,,
7/9/20,1809.00,1835.00,1786.25,1824.25,1812.94,16807336,,
7/10/20,1828.50,1884.60,1824.25,1878.05,1866.41,20195218,,
7/13/20,1903.35,1947.70,1900.00,1935.00,1923.01,32124262,,
7/14/20,1934.00,1941.70,1887.30,1917.00,1905.12,31073305,,
7/15/20,1937.95,1978.80,1798.00,1844.00,1832.57,64457578,,
7/16/20,1847.00,1869.00,1812.45,1843.40,1831.97,28133826,,
7/17/20,1845.00,1920.00,1838.00,1911.70,1899.85,22948894,,
7/20/20,1917.80,1932.00,1899.65,1919.90,1908.00,16887635,,
7/21/20,1939.00,1977.00,1936.50,1971.55,1959.33,19463004,,
7/22/20,1983.00,2010.00,1960.70,2004.00,1991.58,27584518,,
7/23/20,2003.95,2079.70,1991.35,2057.80,2045.04,26921017,,
7/24/20,2058.00,2163.00,2057.80,2146.15,2132.85,55655668,,
7/27/20,2178.80,2198.80,2127.90,2156.20,2142.83,37060665,,
7/28/20,2156.20,2194.00,2150.65,2177.70,2164.20,25435297,,
7/29/20,2177.90,2182.80,2070.45,2096.65,2083.65,33534147,,
7/30/20,2099.00,2139.70,2072.00,2108.85,2095.78,33623699,,
7/31/20,2114.50,2129.00,2052.80,2067.10,2054.29,34593133,,
8/3/20,2051.30,2057.00,2003.10,2009.00,1996.55,21559142,,
8/4/20,2020.60,2167.00,2000.25,2150.60,2137.27,42476932,,
8/5/20,2169.00,2196.00,2118.30,2126.45,2113.27,34404810,,
8/6/20,2157.00,2167.70,2107.80,2134.10,2120.87,22762545,,
8/7/20,2129.80,2157.80,2120.20,2146.45,2133.15,15222303,,
8/10/20,2159.10,2165.00,2108.10,2119.85,2106.71,12441573,,
8/11/20,2134.80,2160.00,2100.35,2133.80,2120.57,21611256,,
8/12/20,2121.00,2145.00,2106.80,2127.60,2114.41,13967116,,
8/13/20,2128.00,2138.90,2110.00,2122.05,2108.90,11459190,,
8/14/20,2122.55,2157.00,2089.25,2113.80,2100.70,15333164,,
